time,site,et,hectares,megaliters
2016-03-03,US-Bi1,1.205,2.126,0.026
2016-03-03,US-Bi2,0.591,2.129,0.013
2016-03-03,US-Tw3,1.145,2.13,0.024
2016-03-03,US-Twt,0.747,2.125,0.016
2016-03-04,US-Bi1,1.627,2.126,0.035
2016-03-04,US-Bi2,0.793,2.129,0.017
2016-03-04,US-Tw3,1.545,2.13,0.033
2016-03-04,US-Twt,1.001,2.125,0.021
2016-03-05,US-Bi1,1.153,2.126,0.025
2016-03-05,US-Bi2,0.558,2.129,0.012
2016-03-05,US-Tw3,1.131,2.13,0.024
2016-03-05,US-Twt,0.728,2.125,0.015
2016-03-06,US-Bi1,1.918,2.126,0.041
2016-03-06,US-Bi2,0.923,2.129,0.02
2016-03-06,US-Tw3,1.927,2.13,0.041
2016-03-06,US-Twt,1.232,2.125,0.026
2016-03-07,US-Bi1,1.52,2.126,0.032
2016-03-07,US-Bi2,0.727,2.129,0.015
2016-03-07,US-Tw3,1.516,2.13,0.032
2016-03-07,US-Twt,0.963,2.125,0.02
2016-03-08,US-Bi1,1.623,2.126,0.035
2016-03-08,US-Bi2,0.772,2.129,0.016
2016-03-08,US-Tw3,1.515,2.13,0.032
2016-03-08,US-Twt,0.88,2.125,0.019
2016-03-09,US-Bi1,1.527,2.126,0.032
2016-03-09,US-Bi2,0.695,2.129,0.015
2016-03-09,US-Tw3,1.288,2.13,0.027
2016-03-09,US-Twt,0.748,2.125,0.016
2016-03-10,US-Bi1,1.355,2.126,0.029
2016-03-10,US-Bi2,0.617,2.129,0.013
2016-03-10,US-Tw3,1.061,2.13,0.023
2016-03-10,US-Twt,0.616,2.125,0.013
2016-03-11,US-Bi1,1.362,2.126,0.029
2016-03-11,US-Bi2,0.621,2.129,0.013
2016-03-11,US-Tw3,1.136,2.13,0.024
2016-03-11,US-Twt,0.66,2.125,0.014
2016-03-12,US-Bi1,1.825,2.126,0.039
2016-03-12,US-Bi2,0.833,2.129,0.018
2016-03-12,US-Tw3,1.515,2.13,0.032
2016-03-12,US-Twt,0.88,2.125,0.019
2016-03-13,US-Bi1,1.375,2.126,0.029
2016-03-13,US-Bi2,0.629,2.129,0.013
2016-03-13,US-Tw3,1.136,2.13,0.024
2016-03-13,US-Twt,0.66,2.125,0.014
2016-03-14,US-Bi1,2.119,2.126,0.045
2016-03-14,US-Bi2,0.97,2.129,0.021
2016-03-14,US-Tw3,1.667,2.13,0.036
2016-03-14,US-Twt,0.968,2.125,0.021
2016-03-15,US-Bi1,2.686,2.126,0.057
2016-03-15,US-Bi2,1.23,2.129,0.026
2016-03-15,US-Tw3,2.197,2.13,0.047
2016-03-15,US-Twt,1.276,2.125,0.027
2016-03-16,US-Bi1,2.686,2.126,0.057
2016-03-16,US-Bi2,1.27,2.129,0.027
2016-03-16,US-Tw3,2.299,2.13,0.049
2016-03-16,US-Twt,1.325,2.125,0.028
2016-03-17,US-Bi1,2.778,2.126,0.059
2016-03-17,US-Bi2,1.314,2.129,0.028
2016-03-17,US-Tw3,2.325,2.13,0.05
2016-03-17,US-Twt,1.331,2.125,0.028
2016-03-18,US-Bi1,3.056,2.126,0.065
2016-03-18,US-Bi2,1.446,2.129,0.031
2016-03-18,US-Tw3,2.587,2.13,0.055
2016-03-18,US-Twt,1.47,2.125,0.031
2016-03-19,US-Bi1,2.87,2.126,0.061
2016-03-19,US-Bi2,1.359,2.129,0.029
2016-03-19,US-Tw3,2.457,2.13,0.052
2016-03-19,US-Twt,1.386,2.125,0.029
2016-03-20,US-Bi1,2.222,2.126,0.047
2016-03-20,US-Bi2,1.052,2.129,0.022
2016-03-20,US-Tw3,1.843,2.13,0.039
