time,site,et,hectares,megaliters
2016-03-20,US-Bi1,2.498,2.126,0.053
2016-03-20,US-Bi2,2.584,2.129,0.055
2016-03-20,US-Tw3,1.652,2.13,0.035
2016-03-20,US-Twt,2.469,2.125,0.052
2016-03-21,US-Bi1,2.558,2.126,0.054
2016-03-21,US-Bi2,2.632,2.129,0.056
2016-03-21,US-Tw3,1.829,2.13,0.039
2016-03-21,US-Twt,2.586,2.125,0.055
2016-03-22,US-Bi1,3.271,2.126,0.07
2016-03-22,US-Bi2,3.35,2.129,0.071
2016-03-22,US-Tw3,2.417,2.13,0.051
2016-03-22,US-Twt,3.244,2.125,0.069
2016-03-23,US-Bi1,3.791,2.126,0.081
2016-03-23,US-Bi2,3.866,2.129,0.082
2016-03-23,US-Tw3,2.889,2.13,0.062
2016-03-23,US-Twt,3.69,2.125,0.078
2016-03-24,US-Bi1,3.767,2.126,0.08
2016-03-24,US-Bi2,3.887,2.129,0.083
2016-03-24,US-Tw3,2.943,2.13,0.063
2016-03-24,US-Twt,3.779,2.125,0.08
2016-03-25,US-Bi1,4.047,2.126,0.086
2016-03-25,US-Bi2,4.228,2.129,0.09
2016-03-25,US-Tw3,3.064,2.13,0.065
2016-03-25,US-Twt,3.956,2.125,0.084
2016-03-26,US-Bi1,4.196,2.126,0.089
2016-03-26,US-Bi2,4.442,2.129,0.095
2016-03-26,US-Tw3,3.165,2.13,0.067
2016-03-26,US-Twt,4.111,2.125,0.087
2016-03-27,US-Bi1,3.458,2.126,0.074
2016-03-27,US-Bi2,3.712,2.129,0.079
2016-03-27,US-Tw3,2.597,2.13,0.055
2016-03-27,US-Twt,3.397,2.125,0.072
2016-03-28,US-Bi1,3.319,2.126,0.071
2016-03-28,US-Bi2,3.617,2.129,0.077
2016-03-28,US-Tw3,2.551,2.13,0.054
2016-03-28,US-Twt,3.36,2.125,0.071
2016-03-29,US-Bi1,3.179,2.126,0.068
2016-03-29,US-Bi2,3.522,2.129,0.075
2016-03-29,US-Tw3,2.433,2.13,0.052
2016-03-29,US-Twt,3.229,2.125,0.069
2016-03-30,US-Bi1,3.209,2.126,0.068
2016-03-30,US-Bi2,3.617,2.129,0.077
2016-03-30,US-Tw3,2.377,2.13,0.051
2016-03-30,US-Twt,3.181,2.125,0.068
2016-03-31,US-Bi1,3.304,2.126,0.07
2016-03-31,US-Bi2,3.794,2.129,0.081
2016-03-31,US-Tw3,2.374,2.13,0.051
2016-03-31,US-Twt,3.207,2.125,0.068
2016-04-01,US-Bi1,3.069,2.126,0.065
2016-04-01,US-Bi2,3.378,2.129,0.072
2016-04-01,US-Tw3,2.162,2.13,0.046
2016-04-01,US-Twt,2.906,2.125,0.062
2016-04-02,US-Bi1,3.046,2.126,0.065
2016-04-02,US-Bi2,3.212,2.129,0.068
2016-04-02,US-Tw3,1.987,2.13,0.042
2016-04-02,US-Twt,2.656,2.125,0.056
2016-04-03,US-Bi1,3.438,2.126,0.073
2016-04-03,US-Bi2,3.474,2.129,0.074
2016-04-03,US-Tw3,2.079,2.13,0.044
2016-04-03,US-Twt,2.763,2.125,0.059
2016-04-04,US-Bi1,3.928,2.126,0.084
2016-04-04,US-Bi2,3.802,2.129,0.081
2016-04-04,US-Tw3,2.311,2.13,0.049
2016-04-04,US-Twt,3.051,2.125,0.065
2016-04-05,US-Bi1,4.26,2.126,0.091
2016-04-05,US-Bi2,3.948,2.129,0.084
2016-04-05,US-Tw3,2.377,2.13,0.051
2016-04-05,US-Twt,3.117,2.125,0.066
2016-04-06,US-Bi1,4.247,2.126,0.09
2016-04-06,US-Bi2,3.768,2.129,0.08
2016-04-06,US-Tw3,2.386,2.13,0.051
2016-04-06,US-Twt,3.105,2.125,0.066
2016-04-07,US-Bi1,4.141,2.126,0.088
2016-04-07,US-Bi2,3.515,2.129,0.075
2016-04-07,US-Tw3,2.073,2.13,0.044
2016-04-07,US-Twt,2.675,2.125,0.057
2016-04-08,US-Bi1,3.205,2.126,0.068
2016-04-08,US-Bi2,2.602,2.129,0.055
2016-04-08,US-Tw3,1.516,2.13,0.032
2016-04-08,US-Twt,1.94,2.125,0.041
2016-04-09,US-Bi1,1.676,2.126,0.036
2016-04-09,US-Bi2,1.301,2.129,0.028
2016-04-09,US-Tw3,0.707,2.13,0.015
2016-04-09,US-Twt,0.896,2.125,0.019
2016-04-10,US-Bi1,1.514,2.126,0.032
2016-04-10,US-Bi2,1.123,2.129,0.024
2016-04-10,US-Tw3,0.638,2.13,0.014
