time,site,et,hectares,megaliters
2016-03-03,US-Twt,0.921,2.125,0.02
2016-03-04,US-Bi1,1.555,2.126,0.033
2016-03-04,US-Bi2,0.702,2.129,0.015
2016-03-04,US-Tw3,1.294,2.13,0.028
2016-03-04,US-Twt,1.235,2.125,0.026
2016-03-05,US-Bi1,1.108,2.126,0.024
2016-03-05,US-Bi2,0.514,2.129,0.011
2016-03-05,US-Tw3,0.943,2.13,0.02
2016-03-05,US-Twt,0.899,2.125,0.019
2016-03-06,US-Bi1,1.852,2.126,0.039
2016-03-06,US-Bi2,0.883,2.129,0.019
2016-03-06,US-Tw3,1.6,2.13,0.034
2016-03-06,US-Twt,1.523,2.125,0.032
2016-03-07,US-Bi1,1.474,2.126,0.031
2016-03-07,US-Bi2,0.721,2.129,0.015
2016-03-07,US-Tw3,1.254,2.13,0.027
2016-03-07,US-Twt,1.191,2.125,0.025
2016-03-08,US-Bi1,1.582,2.126,0.034
2016-03-08,US-Bi2,0.792,2.129,0.017
2016-03-08,US-Tw3,1.207,2.13,0.026
2016-03-08,US-Twt,1.099,2.125,0.023
2016-03-09,US-Bi1,1.512,2.126,0.032
2016-03-09,US-Bi2,0.737,2.129,0.016
2016-03-09,US-Tw3,1.026,2.13,0.022
2016-03-09,US-Twt,0.935,2.125,0.02
2016-03-10,US-Bi1,1.344,2.126,0.029
2016-03-10,US-Bi2,0.675,2.129,0.014
2016-03-10,US-Tw3,0.845,2.13,0.018
2016-03-10,US-Twt,0.77,2.125,0.016
2016-03-11,US-Bi1,1.354,2.126,0.029
2016-03-11,US-Bi2,0.7,2.129,0.015
2016-03-11,US-Tw3,0.905,2.13,0.019
2016-03-11,US-Twt,0.825,2.125,0.018
2016-03-12,US-Bi1,1.819,2.126,0.039
2016-03-12,US-Bi2,0.967,2.129,0.021
2016-03-12,US-Tw3,1.207,2.13,0.026
2016-03-12,US-Twt,1.099,2.125,0.023
2016-03-13,US-Bi1,1.374,2.126,0.029
2016-03-13,US-Bi2,0.75,2.129,0.016
